"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Austria","AUT","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","71.31","69.02","73.88","76.08","66.4","71.14","75.73","78.03","77.06","77","74.39","73.26","77.88","79.59","82.02","82.22","81.16","84.3","85.34","89.45","85.06","97.52","91.16","92.75","88.59","91.06","89.53","95.59","91.48","92.02","93.14","92.13","92.35","97.79","95.09","97.04","98.36","100.1","103.98","100.19","103.21","103.17","97.4","100.92","99.9","99.18","103.56","107.76","106.04","98.99","104.19","99.33","98.47","104.11","98.35","101.29","",
"Azerbaijan","AZE","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.15","64.62","58.43","55.43","62.03","60.11","63.57","69.4","75.87","83.32","88.59","92.27","90.1","103.31","106.59","106.44","112.2","125.86","124.69","131.88","138.14","141.25","136.46","145.33","148.08","",
"Burundi","BDI","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","63.16","63.4","64.23","69.37","69.74","70.01","72.71","74.89","74.66","75.41","77.34","70.68","79.68","73.89","81.12","82.79","84.92","78.66","79.21","77.99","82.76","81.5","80.11","79.8","90.46","95.34","97.86","100.9","95.15","101.8","105.24","107.39","105.4","90.54","95.01","96.75","97.61","91.43","94.51","90.79","97.97","100.55","104.19","98.33","100.39","101.28","104.59","105.72","112.57","113.93","111.92","98.47","144.7","121.01","110.95","119.85","",
"Belgium","BEL","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.18","98.55","101.7","101","104.23","99.04","96.72","97.41","92.11","95.74","100.8","104.58","100.5","104.16","89.18","88.31","84.89","",
"Benin","BEN","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","22.96","21.31","21.58","22.59","23.58","22.69","25.03","27.03","26.14","27.34","27.41","27.61","28.54","26.83","26.47","31.01","29.97","33.08","34.77","32.79","32.05","32.24","32.62","41.29","41.52","43.67","38.3","45.81","47.57","48.98","55.13","53.9","56.37","59.25","63.02","69.14","74.78","77.3","83.03","86.71","88.18","106.24","99.39","105.93","104.1","89.98","93.57","119.35","122.92","127.61","135.81","145.65","157.49","165.45","154.51","161.65","",
"Burkina Faso","BFA","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","21.71","23.86","24.02","26.39","27.07","27.13","27.94","29.33","28.89","29.47","28.09","26.68","23.92","27.17","30.73","27.68","28.52","30.98","32.71","30.59","34.07","34.16","34.96","35.17","43.7","49.17","45.37","52.44","50.71","52.24","62.75","64.03","66.66","65.33","65.74","70.82","64.8","76.53","78.01","68.05","89.42","87.99","101.54","92.13","103.86","104.01","92.31","117.47","109.06","125.89","115.37","132.26","127.99","127.14","122.18","127.42","",
"Bangladesh","BGD","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","37.35","35.62","40.53","40.81","41.08","39.32","44.55","45.6","47.48","45.19","41.94","41.14","45.57","44.08","48.77","46.57","49.74","51.52","51.1","52.07","51.76","53.82","55.06","55.38","57.3","57.99","58.09","59.01","64.84","65.58","66.22","67.06","66.89","64.18","67","70.66","71.5","74.23","84.68","89.9","87.89","90.42","92.95","90.98","102.9","106.11","112.01","120.23","121.31","128.5","131.7","132.49","135.01","140.96","141.72","145.31","",
"Bulgaria","BGR","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","117.69","126.91","129.12","131.32","145.4","163.67","160.7","163.52","166.06","159.25","161.57","167.76","167.98","158.45","161.62","176.54","163.48","174.13","180.56","175.02","189.25","199.07","181.09","196.69","171.26","187.93","178.65","178.73","187","175.89","148.52","147.96","117.73","121.25","135.18","111.7","117.15","116.81","119.58","112.46","110.2","102.38","93.67","115.85","87.49","96.66","80.78","110.92","99.44","111.78","111.39","104.96","126.69","127.15","125.6","129.85","",
"Bahrain","BHR","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","55.21","55.57","56.24","56.1","58.08","56.94","57.93","56.78","58.85","60.31","59.24","61.94","64.04","68.7","98.41","124.52","152.08","157.06","164.08","176.25","90.96","97.25","91.46","102.94","117.24","105.18","136.71","110.99","116.99","91.98","97.19","109.48","106.86","113.99","121.13","118.44","115.85","127.7","121.82","121.56","104.07","106.64","102.57","89.56","91.5","118.94","115.33","111.98","128.4","119.04","164.38","165.67","203.34","203.16","201.56","200.76","",
"Bahamas, The","BHS","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","35","36.45","38.54","40.28","42.6","46.17","48.44","48.95","46.36","48.33","47.13","51.83","67.36","71.04","70.85","79.23","67.84","63.49","60.41","59.84","69.88","66.39","63.86","67.19","66.74","64.56","67.96","69.09","73.35","72.91","65.31","65.19","64.82","62.48","79.65","90.62","85.3","106.06","109.49","84.86","88.52","86.7","94.76","99.14","98.77","102.09","105.53","106.17","103.5","123","127.36","127.24","128.71","129.26","129.89","130.89","",
"Bosnia and Herzegovina","BIH","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.91","82.99","71.96","69.12","63.26","76.35","86.73","82.76","68.23","73.5","81.06","77.31","98.69","97.85","103.46","103.92","110.68","113.39","111.6","111.79","100.97","116.7","96.95","110.54","125.39","",
"Belarus","BLR","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.73","115.55","89.73","88.95","90.76","83.46","88.83","82.01","79.57","82.56","84.11","81.94","93.78","97.03","109.19","109.93","117.82","124.39","128.29","126.51","138.95","135.89","136.66","133.03","133.94","",
"Belize","BLZ","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","14.06","12.01","13.16","15.92","17.05","19.7","21.83","24.5","22.11","23.53","25.26","26.41","28.83","31.51","29.23","27.72","34.16","38.15","35.25","40.67","40.37","42.91","41.28","41.47","40.9","42.56","47.25","45.49","46.62","53.14","50.09","61.06","65.11","62.25","67.08","71.9","79.36","73.5","79.77","90.74","88.86","84.8","88.71","99.24","101.45","99.31","97.79","93.73","93.93","96.19","86.88","104.65","98.26","101.37","99.55","94.19","",
"Bermuda","BMU","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","126.3","127.46","140.38","149.59","143.9","154.08","153.2","141.6","120.4","131.85","118.98","97.49","90.42","84.06","85.71","85.75","81.56","83.37","87","89.55","91.82","94.42","96","91.68","92.57","89.34","93.65","97.78","106.76","113.15","109.73","104.53","103.74","99.75","97.22","91.11","96.32","100.84","102.46","103.86","105.11","101.45","103.77","100.18","98.22","101.6","105.47","110.18","111.97","108.49","110.15","114.05","112.5","112.44","113.1","112.44","",
"Bolivia","BOL","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","20.12","20.84","22.16","22.73","23.72","24.76","25.5","27.32","27.29","29.64","30.51","33.27","35.24","36.33","38.94","40.12","39.62","39.58","39.86","43.91","44.28","45.37","38.08","43.76","47.86","48.2","50.18","52.5","54.62","58.54","59.8","57.22","59.97","65.24","70.87","72.79","74.6","77.39","77.57","83.05","84.58","89.43","94.41","93.75","99.79","106.46","112.67","112.97","121.21","120.7","123.07","135.44","138.27","142.03","147.55","146.43","",
"Brazil","BRA","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","15.69","16.23","16.76","17.61","19.64","19.13","20.59","21.27","21.97","23.42","23.91","25.4","25.38","26.77","28.07","30.95","32.33","31.58","33.06","37.41","38.19","40.16","40.11","43.15","46.25","45.1","49.04","51.39","53.51","51.4","53.73","56.89","57.45","62.05","66.37","65.72","69.09","69.94","75.19","76.96","81.12","86.45","94.21","97.44","99.4","103.17","110.88","116.63","116.91","123.98","129.15","127.29","136.83","137.01","140.58","136.5","",
